solution_id,num_clusters_f2,disagreement_f1
solution_1237,62,678.500000000001
solution_1236,62,678.500000000001
solution_1235,62,678.500000000001
solution_1234,62,678.500000000001
solution_1233,62,678.500000000001
solution_1232,62,678.500000000001
solution_1231,62,678.500000000001
solution_1246,62,678.500000000001
solution_1247,62,678.500000000001
solution_1248,62,678.500000000001
solution_1249,62,678.500000000001
solution_1265,62,678.500000000001
solution_1264,62,678.500000000001
solution_1263,62,678.500000000001
solution_1262,62,678.500000000001
solution_1261,62,678.500000000001
solution_1260,62,678.500000000001
solution_1259,62,678.500000000001
solution_1230,62,678.500000000001
solution_1258,62,678.500000000001
solution_1256,62,678.500000000001
solution_1255,62,678.500000000001
solution_1254,62,678.500000000001
solution_1253,62,678.500000000001
solution_1252,62,678.500000000001
solution_1251,62,678.500000000001
solution_1250,62,678.500000000001
solution_1257,62,678.500000000001
solution_1229,62,678.500000000001
solution_1228,62,678.500000000001
solution_1227,62,678.500000000001
solution_1206,62,678.500000000001
solution_1205,62,678.500000000001
solution_1204,62,678.500000000001
solution_1203,62,678.500000000001
solution_1202,62,678.500000000001
solution_1201,62,678.500000000001
solution_1200,62,678.500000000001
solution_1207,62,678.500000000001
solution_1199,62,678.500000000001
solution_1197,62,678.500000000001
solution_1196,62,678.500000000001
solution_1195,62,678.500000000001
solution_1194,62,678.500000000001
solution_1193,62,678.500000000001
solution_1192,62,678.500000000001
solution_1191,62,678.500000000001
solution_1198,62,678.500000000001
solution_1189,62,678.500000000001
solution_1208,62,678.500000000001
solution_1210,62,678.500000000001
solution_1226,62,678.500000000001
solution_1225,62,678.500000000001
solution_1224,62,678.500000000001
solution_1223,62,678.500000000001
solution_1222,62,678.500000000001
solution_1221,62,678.500000000001
solution_1220,62,678.500000000001
solution_1209,62,678.500000000001
solution_1219,62,678.500000000001
solution_1217,62,678.500000000001
solution_1216,62,678.500000000001
solution_1215,62,678.500000000001
solution_1214,62,678.500000000001
solution_1213,62,678.500000000001
solution_1212,62,678.500000000001
solution_1211,62,678.500000000001
solution_1218,62,678.500000000001
solution_1110,62,678.500000000001
solution_1109,62,678.500000000001
solution_1108,62,678.500000000001
solution_1007,62,678.500000000001
solution_1006,62,678.500000000001
solution_1005,62,678.500000000001
solution_1004,62,678.500000000001
solution_1003,62,678.500000000001
solution_1002,62,678.500000000001
solution_1001,62,678.500000000001
solution_1000,62,678.500000000001
solution_999,62,678.500000000001
solution_998,62,678.500000000001
solution_997,62,678.500000000001
solution_996,62,678.500000000001
solution_995,62,678.500000000001
solution_994,62,678.500000000001
solution_993,62,678.500000000001
solution_1008,62,678.500000000001
solution_1009,62,678.500000000001
solution_1010,62,678.500000000001
solution_1011,62,678.500000000001
solution_1027,62,678.500000000001
solution_1026,62,678.500000000001
solution_1025,62,678.500000000001
solution_1024,62,678.500000000001
solution_1023,62,678.500000000001
solution_1022,62,678.500000000001
solution_1021,62,678.500000000001
solution_992,62,678.500000000001
solution_1020,62,678.500000000001
solution_1018,62,678.500000000001
solution_1017,62,678.500000000001
solution_1016,62,678.500000000001
solution_1015,62,678.500000000001
solution_1014,62,678.500000000001
solution_1013,62,678.500000000001
solution_1012,62,678.500000000001
solution_1019,62,678.500000000001
solution_991,62,678.500000000001
solution_990,62,678.500000000001
solution_989,62,678.500000000001
solution_968,62,678.500000000001
solution_967,62,678.500000000001
solution_966,62,678.500000000001
solution_965,62,678.500000000001
solution_964,62,678.500000000001
solution_963,62,678.500000000001
solution_962,62,678.500000000001
solution_969,62,678.500000000001
solution_961,62,678.500000000001
solution_959,62,678.500000000001
solution_958,62,678.500000000001
solution_957,62,678.500000000001
solution_956,62,678.500000000001
solution_955,62,678.500000000001
solution_954,62,678.500000000001
solution_953,62,678.500000000001
solution_960,62,678.500000000001
solution_1028,62,678.500000000001
solution_970,62,678.500000000001
solution_972,62,678.500000000001
solution_988,62,678.500000000001
solution_987,62,678.500000000001
solution_986,62,678.500000000001
solution_985,62,678.500000000001
solution_984,62,678.500000000001
solution_983,62,678.500000000001
solution_982,62,678.500000000001
solution_971,62,678.500000000001
solution_981,62,678.500000000001
solution_979,62,678.500000000001
solution_978,62,678.500000000001
solution_977,62,678.500000000001
solution_976,62,678.500000000001
solution_975,62,678.500000000001
solution_974,62,678.500000000001
solution_973,62,678.500000000001
solution_980,62,678.500000000001
solution_1029,62,678.500000000001
solution_1030,62,678.500000000001
solution_1031,62,678.500000000001
solution_1087,62,678.500000000001
solution_1086,62,678.500000000001
solution_1085,62,678.500000000001
solution_1084,62,678.500000000001
solution_1083,62,678.500000000001
solution_1082,62,678.500000000001
solution_1081,62,678.500000000001
solution_1088,62,678.500000000001
solution_1080,62,678.500000000001
solution_1078,62,678.500000000001
solution_1077,62,678.500000000001
solution_1076,62,678.500000000001
solution_1075,62,678.500000000001
solution_1074,62,678.500000000001
solution_1073,62,678.500000000001
solution_1072,62,678.500000000001
solution_1079,62,678.500000000001
solution_1071,62,678.500000000001
solution_1089,62,678.500000000001
solution_1091,62,678.500000000001
solution_1107,62,678.500000000001
solution_1106,62,678.500000000001
solution_1105,62,678.500000000001
solution_1104,62,678.500000000001
solution_1103,62,678.500000000001
solution_1102,62,678.500000000001
solution_1101,62,678.500000000001
solution_1090,62,678.500000000001
solution_1100,62,678.500000000001
solution_1098,62,678.500000000001
solution_1097,62,678.500000000001
solution_1096,62,678.500000000001
solution_1095,62,678.500000000001
solution_1094,62,678.500000000001
solution_1093,62,678.500000000001
solution_1092,62,678.500000000001
solution_1099,62,678.500000000001
solution_951,62,678.500000000001
solution_1070,62,678.500000000001
solution_1068,62,678.500000000001
solution_1047,62,678.500000000001
solution_1046,62,678.500000000001
solution_1045,62,678.500000000001
solution_1044,62,678.500000000001
solution_1043,62,678.500000000001
solution_1042,62,678.500000000001
solution_1041,62,678.500000000001
solution_1048,62,678.500000000001
solution_1040,62,678.500000000001
solution_1038,62,678.500000000001
solution_1037,62,678.500000000001
solution_1036,62,678.500000000001
solution_1035,62,678.500000000001
solution_1034,62,678.500000000001
solution_1033,62,678.500000000001
solution_1032,62,678.500000000001
solution_1039,62,678.500000000001
solution_1069,62,678.500000000001
solution_1049,62,678.500000000001
solution_1051,62,678.500000000001
solution_1067,62,678.500000000001
solution_1066,62,678.500000000001
solution_1065,62,678.500000000001
solution_1064,62,678.500000000001
solution_1063,62,678.500000000001
solution_1062,62,678.500000000001
solution_1061,62,678.500000000001
solution_1050,62,678.500000000001
solution_1060,62,678.500000000001
solution_1058,62,678.500000000001
